City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,margaret river,-33.95,115.0667,27.82,53,0,5.57,AU,1706674363
158,la ronge,55.1001,-105.2842,7.14,49,0,6.17,CA,1706674527
159,vila velha,-20.3297,-40.2925,26.97,94,20,2.06,BR,1706674527
160,naze,28.3667,129.4833,22.51,84,99,7.17,JP,1706674528
161,nadym,65.5333,72.5167,-22.91,95,15,6.56,RU,1706674528
162,west island,-12.1568,96.8225,29.99,66,40,2.57,CC,1706674491
163,acajutla,13.5928,-89.8275,24.23,62,1,4.47,SV,1706674529
164,coquimbo,-29.9533,-71.3436,16.85,94,20,2.06,CL,1706674529
165,adamstown,-25.066,-130.1015,25.62,76,100,11.95,PN,1706674467
166,al awjam,26.5632,49.9433,18.06,82,20,3.09,SA,1706674530
167,gisborne,-38.6533,178.0042,20.16,81,67,5.54,NZ,1706674531
168,wailua homesteads,22.0669,-159.378,24.24,79,75,3.09,US,1706674531
169,waitangi,-43.9535,-176.5597,17.68,98,100,1.79,NZ,1706674505
170,invercargill,-46.4,168.35,19.45,49,98,3.58,NZ,1706674532
171,augusta,48.3667,10.8833,3.64,93,40,1.54,DE,1706674372
172,marsh harbour,26.5412,-77.0636,20.07,48,64,1.36,BS,1706674533
173,mananjary,-21.2167,48.3333,22.93,90,98,4.27,MG,1706674485
174,california,38.3004,-76.5074,4.8,80,100,2.57,US,1706674534
175,ust-nera,64.5667,143.2,-29.29,97,100,2.15,RU,1706674534
176,balabac,7.9868,117.0645,28.09,75,37,7.23,PH,1706674535
177,margaret river,-33.95,115.0667,27.82,53,0,5.57,AU,1706674363
178,albany,42.6001,-73.9662,-0.2,85,100,2.22,US,1706674278
179,cockburn town,21.4612,-71.1419,23.76,57,3,3.71,TC,1706674536
180,tolanaro,-25.0319,46.9987,23.48,87,75,5.06,MG,1706674536
181,invercargill,-46.4,168.35,19.45,49,98,3.58,NZ,1706674532
182,albany,42.6001,-73.9662,-0.2,85,100,2.22,US,1706674278
183,margaret river,-33.95,115.0667,27.82,53,0,5.57,AU,1706674363
184,guarne,6.2805,-75.4435,16.62,93,75,1.03,CO,1706674409
185,port-aux-francais,-49.35,70.2167,4.02,74,88,13.7,TF,1706674468
186,badger,64.8,-147.5333,-30.0,72,20,0.0,US,1706674539
187,hermanus,-34.4187,19.2345,19.89,78,100,2.24,ZA,1706674525
188,nuku'alofa,-21.1333,-175.2,29.19,79,75,1.03,TO,1706674540
189,sinabang,2.4803,96.3801,29.35,70,86,1.69,ID,1706674540
190,port alfred,-33.5906,26.891,21.21,94,100,4.26,ZA,1706674480
191,lompoc,34.6391,-120.4579,12.4,93,0,2.57,US,1706674541
192,isafjordur,66.0755,-23.124,-5.63,74,62,3.01,IS,1706674541
193,lobito,-12.3481,13.5456,25.89,87,100,1.23,AO,1706674542
